id;name
1;AMONTADA
2;CALDEIRÃO 1
3;CALDEIRÃO 2
4;ICARAÍ
5;RIACHÃO
6;TAÍBA
7;UHE DE JAURU
8;UHE DE QUEBRA QUEIXO
9;UHE DE SANTA CLARA
10;ESCRITÓRIO-CE
